Dataset,Class,Accuracy,AUC
retinamnist,0,0.7816091954022989,0.8161682433119724
retinamnist,1,0.2391304347826087,0.6596659297469909
retinamnist,2,0.41304347826086957,0.6517857142857143
retinamnist,3,0.20588235294117646,0.7608079376328845
retinamnist,4,0.0,0.6472368421052632
