Dataset,Class,Accuracy,AUC
bloodmnist,0,0.8852459016393442,0.9953985355810462
bloodmnist,1,0.9951923076923077,0.9996782839672543
bloodmnist,2,0.932475884244373,0.9986414532521375
bloodmnist,3,0.8480138169257341,0.9851296066041212
bloodmnist,4,0.9506172839506173,0.9983748870190378
bloodmnist,5,0.8661971830985915,0.9915344794299747
bloodmnist,6,0.9774774774774775,0.997816146454985
bloodmnist,7,1.0,1.0
