Dataset,Class,Accuracy,AUC
pathmnist,0,0.9260089686098655,0.9866445700916358
pathmnist,1,0.9976387249114522,0.9993200101937882
pathmnist,2,0.6991150442477876,0.9217722054987736
pathmnist,3,0.943217665615142,0.9976025043829593
pathmnist,4,0.8318840579710145,0.9801573094656904
pathmnist,5,0.5236486486486487,0.9266809073417681
pathmnist,6,0.7233468286099866,0.9524392623476333
pathmnist,7,0.40617577197149646,0.8905954197078304
pathmnist,8,0.8353609083536091,0.9788658972041626
